červená;red
modrá;blue
zelená;green
žlutá;yellow
růžová;pink
fialová;violet
hnědá;brown
oranžová;orange
bílá;white
černá;black
anděl;angel
postel;bed
židle;chair
křeslo;armchair
koberec;carpet;rug
lžíce;spoon
vidlička;fork
nůž;knife
oko;eye
oči;eyes
nos;nose
ústa;mouth
břicho;belly
noha;leg
nohy;legs
prst;finger
prsten;ring
ucho;ear
uši;ears
tráva;grass
květina;flower;plant
strom;tree
mrak;cloud
slunce;sun
duha;rainbow
chléb;bread
maso;meat
máslo;butter
sýr;cheese
propiska;pencil
papír;paper
kniha;book
nůžky;scissors
lepidlo;glue
kočka;cat
pes;dog
myš;mouse
chobotnice;octopus
lev;lion
tygr;tiger
žirafa;giraffe
slon;elephant
medvěd;bear
klíště;tick
ovce;sheep
koza;goat
krabice;box
sukně;skirt
šaty;dress;clothing
plavky;swimming suit
pláž;beach
palma;palm
moře;sea
písek;sand
slunečník;parasol
mrakodrap;skyscraper
klobouk;hat;cap
džíny;jeans
mikina s kapucí;hoodie
svetr;sweater;pullover
šála;scarf
rukavice;gloves
jaro;spring
léto;summer
podzim;autumn
zima;winter;cold
hory;mountains
lyžování;skying
trenér;trainer
lanovka;cable car
auto;car;vehicle
autobus;bus
vlak;train
tramvaj;tram
metro;subway
lidé;people
člověk;man;person
nemluvně;infant;baby
dítě;child
děti;children
dospělý;adult
sestra;sister
bratr;brother
sourozenec;sibling
potomek;offspring
dvojčata;twins
neteř;niece
synovec;nephew
teta;aunt
strýc;uncle
babička;grandmother
dědeček;grandfather
matka;mother
otec;father
hřeben;comb
vana;bath;tub
mýdlo;soap
polévka;soup
oběd;lunch
večeře;dinner
svačina;snack
sáček;bag
umyvadlo;basin
škola;school
školka;kindergarten
hra;game
hračka;toy
kůň;horse
panenka;doll
míč;ball
jedna;one
dva;two
tři;three
čtyři;four
pět;five
šest;six
sedm;seven
osm;eight
devět;nine
deset;ten
jíst;eat
spát;sleep
pít;drink
lhát;lie
plakat;cry
prodat;sell
koupit;buy
láska;love
klidný;calm
vést;lead
píseň;song
plíseň;mold
vidět;see
jablko;apple
banán;banana
rajče;tomato
brambora;potato
antilopa;antilop
vlna;wool
mléko;milk
čaj;tea
hrnek;mug;cup
talíř;plate;dish
kapesník;handkerchief
knoflík;button
láhev;bottle
obraz;picture;painting
oheň;fire
oliva;olive
okurka;cucumber
olej;oil
omeleta;omelet
plán;plan
ples;ball
poutník;traveler;pilgrim
prezentace;presentation
myslet;think
my;we
měna;currency
myslivec;huntsman;hunter;gamekeeper
meč;sword
královna;queen
král;king
učitel;teacher
lektor;lecturer
student;student
tělocvična;gym;gymnasium
pokoj;room
nábytek;furniture
kuchyň;kitchen
koupelna;bathroom
obývací pokoj;living room
ložnice;bedroom
věnec;wreath;garland
meloun;watermelon
třešeň;cherry
ponožky;socks
motýl;butterfly
fotografie;photograph