red;červená
blue;modrá
green;zelená
yellow;žlutá
pink;růžová
violet;fialová
brown;hnědá
orange;oranžová
white;bílá
black;černá
angel;anděl
bed;postel
chair;židle
armchair;křeslo
carpet;koberec
spoon;lžíce
fork;vidlička
knife;nůž
eye;oko
eyes;oči
nose;nos
mouth;ústa
belly;břicho
leg;noha
legs;nohy
finger;prst
ring;prsten;zvonit
ear;ucho
ears;uši
grass;tráva
flower;květina
tree;strom
cloud;mrak
sun;slunce
rainbow;duha
bread;chléb
meat;maso
butter;máslo
cheese;sýr
pencil;propiska
paper;papír;článek
book;kniha
scissors;nůžky
glue;lepidlo
cat;kočka
dog;pes
mouse;myš
octopus;chobotnice
lion;lev
tiger;tygr
giraffe;žirafa
elephant;slon
bear;medvěd
tick;klíště;tikat
sheep;ovce
goat;koza
box;krabice;bedna
skirt;sukně
dress;šaty;oblékat se
swimming suit;plavky
beach;pláž
palm;palma;dlaň
sea;moře
sand;písek
parasol;slunečník
skyscraper;mrakodrap
hat;klobouk;čepice
jeans;džíny
hoodie;mikina s kapucí
sweater;svetr
scarf;šála;šátek
gloves;rukavice
spring;jaro;pružina
summer;léto
autumn;podzim
winter;zima
mountains;hory
skying;lyžování
cable car;lanovka
car;auto;vůz
bus;autobus
train;vlak
tram;tramvaj
subway;metro
people;lidé
person;člověk;osoba
infant;nemluvně
child;dítě
children;děti
adult;dospělý
sister;sestra
brother;bratr
sibling;sourozenec
offspring;potomek
twins;dvojčata
niece;neteř
nephew;synovec
aunt;teta
uncle;strýc
grandmother;babička
grandfather;dědeček
mother;matka
father;otec
comb;hřeben;česat se
bath;vana;lázeň
soap;mýdlo
soup;polévka
lunch;oběd
dinner;večeře
snack;svačina
bag;sáček;pytel
basin;umyvadlo;nížina
school;škola
kindergarten;školka
game;hra
toy;hračka
horse;kůň
doll;panenka
ball;míč;ples
one;jedna
two;dva
three;tři
four;čtyři
five;pět
six;šest
seven;sedm
eight;osm
nine;devět
ten;deset
eat;jíst
sleep;spát;spánek
drink;pít;pití
lie;lhát;ležet
cry;plakat;nářek
sell;prodat;
buy;koupit
love;láska;milovat
calm;klidný;klid
song;píseň
mold;plíseň
see;vidět
apple;jablko
banana;banán
tomato;rajče
potato;brambora
antilop;antilopa
wool;vlna
milk;mléko
tea;čaj
mug;hrnek
plate;talíř;podnos
handkerchief;kapesník
button;knoflík;tlačítko
bottle;láhev
picture;obraz
fire;oheň
olive;oliva
cucumber;okurka
oil;olej;tuk
omelet;omeleta
plan;plán;plánovat
pilgrim;poutník
presentation;prezentace
think;myslet
we;my
currency;měna
huntsman;myslivec
sword;meč
queen;královna
king;král
teacher;učitel
lecturer;lektor
student;student
gym;tělocvična;posilovna
room;pokoj;místnost
furniture;nábytek
kitchen;kuchyň
bathroom;koupelna
living room;obývací pokoj
bedroom;ložnice
wreath;věnec
watermelon;meloun
cherry;třešeň
socks;ponožky
butterfly;motýl
photograph;fotografie;fotografovat